Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2020,Norwich City,20,21,94.5,26.0,Kenny McLean,183
2020,Norwich City,20,21,94.5,26.0,Melvin Sitti,182
2020,Norwich City,20,21,94.5,26.0,Ondrej Duda,181
2020,Norwich City,20,21,94.5,26.0,Alexander Tettey,181
2020,Norwich City,20,21,94.5,26.0,Tom Trybull,181
2020,Norwich City,20,21,94.5,26.0,Todd Cantwell,180
2020,Norwich City,20,21,94.5,26.0,Teemu Pukki,180
2020,Norwich City,20,21,94.5,26.0,Louis Thompson,180
2020,Norwich City,20,21,94.5,26.0,Jordan Thomas,179
2020,Norwich City,20,21,94.5,26.0,Max Aarons,178
2020,Norwich City,20,21,94.5,26.0,Dan Adshead,178
2020,Norwich City,20,21,94.5,26.0,Moritz Leitner,178
