Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2016,Chelsea FC,10,50,87.2,26.8,Miazga,780000
2016,Chelsea FC,10,50,87.2,26.8,Musonda,624000
2016,Chelsea FC,10,50,87.2,26.8,Atsu,520000
2016,Chelsea FC,10,50,87.2,26.8,de Souza,520000
2016,Chelsea FC,10,50,87.2,26.8,Blackman,416000
2016,Chelsea FC,10,50,87.2,26.8,Solanke,364000
2016,Chelsea FC,10,50,87.2,26.8,Cuevas,312000
2016,Chelsea FC,10,50,87.2,26.8,Abraham,312000
2016,Chelsea FC,10,50,87.2,26.8,Chalobah,260000
2016,Chelsea FC,10,50,87.2,26.8,Scott,156000
2016,Everton FC,11,47,83.0,26.5,Lukaku,4160000
2016,Everton FC,11,47,83.0,26.5,Mirallas,3640000
2016,Everton FC,11,47,83.0,26.5,Baines,3167996
2016,Everton FC,11,47,83.0,26.5,Barry,3120000
2016,Everton FC,11,47,83.0,26.5,Niasse,2860000
2016,Everton FC,11,47,83.0,26.5,Lennon,2600000
2016,Everton FC,11,47,83.0,26.5,McCarthy,2600000
2016,Everton FC,11,47,83.0,26.5,Jagielka,2600000
2016,Everton FC,11,47,83.0,26.5,Cleverley,2600000
2016,Everton FC,11,47,83.0,26.5,Deulofeu,2496000
2016,Everton FC,11,47,83.0,26.5,Barkley,2496000
2016,Everton FC,11,47,83.0,26.5,McGeady,2184000
2016,Everton FC,11,47,83.0,26.5,Funes Mori,2080000
2016,Everton FC,11,47,83.0,26.5,Coleman,1976000
2016,Everton FC,11,47,83.0,26.5,Garbutt,1456000
2016,Everton FC,11,47,83.0,26.5,Besic,1430000
2016,Everton FC,11,47,83.0,26.5,Holgate,1300000
2016,Everton FC,11,47,83.0,26.5,Galloway,1196000
2016,Everton FC,11,47,83.0,26.5,Robles,1040000
2016,Everton FC,11,47,83.0,26.5,Tarashaj,780000
2016,Everton FC,11,47,83.0,26.5,Rodriguez,520000
2016,Everton FC,11,47,83.0,26.5,Davies,312000
2016,Everton FC,11,47,83.0,26.5,Pennington,156000
2016,Swansea City,12,47,75.8,27.6,Fernandez,2236000
2016,Swansea City,12,47,75.8,27.6,Ki,1872000
2016,Swansea City,12,47,75.8,27.6,Routledge,1872000
2016,Swansea City,12,47,75.8,27.6,Cork,1820000
2016,Swansea City,12,47,75.8,27.6,Naughton,1664000
2016,Swansea City,12,47,75.8,27.6,Amat,1560000
2016,Swansea City,12,47,75.8,27.6,Bartley,780000
2016,Swansea City,12,47,75.8,27.6,Grimes,520000
2016,Swansea City,12,47,75.8,27.6,Sheehan,260000
2016,Swansea City,12,47,75.8,27.6,McBurnie,260000
2016,Swansea City,12,47,75.8,27.6,Gorre,208000
2016,Watford FC,13,45,74.6,28.2,Evans,3380000
2016,Watford FC,13,45,74.6,28.2,Amrabat,2340000
2016,Watford FC,13,45,74.6,28.2,Behrami,2184000
2016,Watford FC,13,45,74.6,28.2,Suarez,2080000
2016,Watford FC,13,45,74.6,28.2,Capoue,1820000
2016,Watford FC,13,45,74.6,28.2,Holebas,1560000
2016,Watford FC,13,45,74.6,28.2,Pantilimon,1300000
2016,Watford FC,13,45,74.6,28.2,Gomes,1300000
2016,Watford FC,13,45,74.6,28.2,Britos,1300000
2016,Watford FC,13,45,74.6,28.2,Berghuis,1144000
2016,Watford FC,13,45,74.6,28.2,Doucouré,1040000
2016,Watford FC,13,45,74.6,28.2,Prodl,1040000
2016,Watford FC,13,45,74.6,28.2,Hoban,832000
2016,Watford FC,13,45,74.6,28.2,Carlos Paredes,780000
2016,Watford FC,13,45,74.6,28.2,Cathcart,676000
2016,Watford FC,13,45,74.6,28.2,Oulare,676000
2016,Watford FC,13,45,74.6,28.2,Arlauskis,520000
2016,West Bromwich Albion,14,43,73.3,29.1,Salomon Rondon,3120000
2016,West Bromwich Albion,14,43,73.3,29.1,Dawson,1560000
2016,West Bromwich Albion,14,43,73.3,29.1,McManaman,1456000
2016,West Bromwich Albion,14,43,73.3,29.1,Palmer,104000
2016,West Bromwich Albion,14,43,73.3,29.1,Pocognoli,104000
2016,Crystal Palace,15,42,72.1,27.7,Cabaye,4472000
2016,Crystal Palace,15,42,72.1,27.7,Wickham,3120000
2016,Crystal Palace,15,42,72.1,27.7,Dann,3120000
2016,Crystal Palace,15,42,72.1,27.7,Sako,2860000
2016,Crystal Palace,15,42,72.1,27.7,McArthur,2600000
2016,Crystal Palace,15,42,72.1,27.7,Campbell,1820000
2016,Crystal Palace,15,42,72.1,27.7,Puncheon,1820000
2016,Crystal Palace,15,42,72.1,27.7,Zaha,1820000
2016,Crystal Palace,15,42,72.1,27.7,Souare,1560000
2016,Crystal Palace,15,42,72.1,27.7,Mutch,1456000
2016,Crystal Palace,15,42,72.1,27.7,Lee,1300000
2016,Crystal Palace,15,42,72.1,27.7,Ledley,1300000
2016,Crystal Palace,15,42,72.1,27.7,Kelly,1300000
